date,kmtotal,kmopen,pistastotal,pistasopen,espesormin,espesormax,calidadnieve,kmprocessed,pistasprocessed,minprocessed,maxprocessed,idestado,name,Pista_total,Piste_verdi,Piste_blu,Piste_rosse,Piste_nere,Impianti_risalita,Capacità,Quota_max,Quota_min,Snowpark,Area_gare,Slalom,Superpipe,Scii_notte,Area_bambini,Prezzo_skipass,Prezzo_noleggio,Prezzo_scuola,espesor_medio,indice_tecnico
2021-11-20,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.49186425061425054
2021-11-21,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.46186425061425057
2021-11-22,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.49186425061425054
2021-11-23,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.5718642506142506
2021-11-24,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.5718642506142506
2021-11-25,145.0,0.0,145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,0.0,0.5718642506142506
2021-11-26,145.0,22.0,145,11.0,20.0,50.0,Polvo,22.0,11.0,20.0,50.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,35.0,0.6218642506142507
2021-11-27,145.0,49.0,145,38.0,20.0,50.0,Polvo,49.0,38.0,20.0,50.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,35.0,0.5718642506142506
2021-11-28,145.0,40.0,145,30.0,20.0,50.0,Polvo,40.0,30.0,20.0,50.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,35.0,0.5718642506142506
2021-11-29,145.0,48.0,145,42.0,30.0,60.0,Polvo,48.0,42.0,30.0,60.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,45.0,0.6275785363285364
2021-11-30,145.0,69.0,145,55.0,30.0,60.0,Polvo,69.0,55.0,30.0,60.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,45.0,0.6275785363285364
2021-12-01,145.0,69.0,145,56.0,30.0,60.0,Polvo,69.0,56.0,30.0,60.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,45.0,0.6275785363285364
2021-12-02,145.0,70.0,145,58.0,30.0,60.0,Polvo,70.0,58.0,30.0,60.0,1.0,ALP 2500,146,29,49,52,16,33,43590,2537,1600,2,1,1,1,10.0,3,57,26,55,45.0,0.6275785363285364
